corpus,study_id,set,multilab,social,z_orig,z_repli,n_orig,n_repli,se_orig,se_repli,pub_expanded
ml1,ML1_currency_priming,train,1,0,0.39003531977071526,-0.009999833340832888,NA,6333,NA,0.012568925295997527,NA
ml1,ML1_imagined_contact,train,1,0,0.41774349944156297,0.0649543159702414,NA,6336,NA,0.012565947935942488,NA
ml1,ML1_sex_diff_implicit_math,train,1,0,0.48567948296044966,0.26199249953844805,NA,5840,NA,0.013088960387126302,NA
ml1,ML1_implicit_explicit_math_relation,train,1,0,0.40005965005605654,0.40005965005605654,NA,5623,NA,0.013339263212805203,NA
ml2,ML2_huang_direction_ses,train,1,0,0.33376835164588226,0.19869011034924142,180,6591,0.07516460280028289,0.012320354515909546,NA
ml2,ML2_kay_structure_goal,train,1,0,0.24261291139707472,-0.009999833340832888,67,6506,0.125,0.012400612109320948,NA
ml2,ML2_alter_disfluency,train,1,0,0.31477598001879026,-0.014999437556945498,41,2580,0.16222142113076254,0.0196989369755484,NA
ml2,ML2_graham_moral_foundations,train,1,0,0.2571563485130149,0.1444966438188224,1548,6966,0.025441092565739218,0.011984000056756225,NA
ml2,ML2_rottenstreich_affect_risk,train,1,0,0.36203912124097115,-0.039989341006026996,40,7218,0.1643989873053573,0.011772856008638626,NA
ml2,ML2_bauer_consumerism,train,1,0,0.4223326695263606,0.05996405819533395,77,6608,0.11624763874381928,0.012304489188965245,NA
ml2,ML2_miyamoto_correspondence_bias,train,1,0,0.7901687254123968,0.816281421063876,57,7197,0.13608276348795434,0.011790026554706715,NA
ml2,ML2_inbar_disgust_homophobia,train,1,0,0.7,0.05000000000000001,44,7117,0.15617376188860607,0.011856133193117539,NA
ml2,ML2_critcher_incidental_anchors,train,1,0,0.1494431201849576,0.01999866690660954,207,6826,0.07001400420140048,0.012106324603800078,NA
ml2,ML2_vanlange_svo,train,1,0,0.29529389359091535,-0.020002667306849582,631,6234,0.03990434422338111,0.01266838123695451,NA
ml2,ML2_hauser_trolley1,train,1,0,1.047593012649259,0.6320655315232042,2646,6842,0.019451424796105867,0.012092154796920804,NA
ml2,ML2_anderson_sms_wellbeing,train,1,0,0.2812763716193096,-0.01999866690660954,228,6905,0.06666666666666667,0.012036840965264339,NA
ml2,ML2_ross_false_consensus_1,train,1,0,0.385388944086563,0.5602310764109278,320,7205,0.05616559563017304,0.011783476539448555,NA
ml2,ML2_ross_false_consensus_2,train,1,0,0.39003531977071526,0.45874011541194837,320,7827,0.05616559563017304,0.011305390791153364,NA
ml2,ML2_giessner_power_position,train,1,0,0.2716467605137753,0.014999437556945498,64,7890,0.12803687993289598,0.01126014750214229,NA
ml2,ML2_tversky_kahneman_framing,train,1,0,0.4282408815152921,0.19792946197812447,181,7228,0.07495316889958614,0.011764705882352941,NA
ml2,ML2_hauser_trolley2,train,1,0,0.16919163593519546,0.12467674692144276,2612,7923,0.01957775820486337,0.011236664374387369,NA
ml2,ML2_risen_tempting_fate,train,1,0,0.19378486722187624,0.0898789407439468,118,8000,0.09325048082403138,0.011182436791000398,NA
ml2,ML2_savani_actions_choices,train,1,0,-0.3195346320005721,-0.11971385039877737,218,3506,0.06819943394704735,0.016895845568892596,NA
ml2,ML2_norenzayan_intuitive_reasoning,train,1,0,0.7520711647570035,0.41774349944156297,52,7396,0.14285714285714285,0.01163026597733855,NA
ml2,ML2_hsee_less_is_better,train,1,0,0.33849859640169994,0.38073462364198474,83,7646,0.11180339887498948,0.011438473495733587,NA
ml2,ML2_gray_wegner_moral_typecasting,train,1,0,0.39003531977071526,0.45874011541194837,69,8002,0.12309149097933272,0.011181038724258546,NA
ml2,ML2_zhong_moral_cleansing,train,1,0,0.4901381614362345,0,27,7001,0.20412414523193154,0.01195399392875929,NA
ml2,ML2_schwarz_assimilation_contrast,train,1,0,0.48000000000000004,-0.07,100,7460,0.10153461651336192,0.011580249818791891,NA
ml2,ML2_shafir_choose_reject,train,1,0,0.17411886082400196,-0.0649543159702414,170,7901,0.07738232325341368,0.011252303441627693,NA
ml2,ML2_zaval_priming_warmth,train,1,0,0.15438596970922094,-0.014999437556945498,300,4204,0.058025885318565944,0.015428498379527544,NA
ml2,ML2_knobe_intentional_side_effects,train,1,0,0.6730270885559941,0.7901687254123968,78,7982,0.11547005383792514,0.011195043036766855,NA
ml2,ML2_tversky_gati_directionality_similarity,train,1,0,0.2377537491523999,0.004999979166901039,144,3549,0.0842151921066519,0.016793090728662613,NA
camerer2018,Ackerman2010,train,0,1,0.27686382265510007,0.06308354805176287,54,599,0.14002800840280097,0.04096159602595203,NA
camerer2018,Aviezer2012,train,0,1,1.9588240900333496,1.1849305459441029,15,14,0.2886751345948129,0.30151134457776363,NA
camerer2018,Derex2013,train,0,1,0.5832174425034354,0.3780352741369656,366,482,0.0524863881081478,0.04569116623849538,NA
camerer2018,Duncan2012,train,0,1,0.8180369348413566,0.46728124905505525,15,92,0.2886751345948129,0.105999788000636,NA
camerer2018,Gervais_Norenzayan2012,train,0,1,0.29747478656797327,-0.03501430218024176,57,531,0.13608276348795434,0.04351941398892446,NA
camerer2018,Karpicke_Blunt2011,train,0,1,0.6962780611719334,0.40474308632204753,40,49,0.1643989873053573,0.14744195615489714,NA
camerer2018,Kidd_Castano2013,train,0,1,0.2757855039823046,-0.027006563871276583,86,714,0.10976425998969035,0.037502930030867465,NA
camerer2018,Kovacs2010,train,0,1,0.48470027859405174,0.6715522141847394,24,95,0.2182178902359924,0.10425720702853739,NA
camerer2018,Lee_Schwarz2010,train,0,1,0.40944342927721183,-0.046032486588290844,40,286,0.1643989873053573,0.0594438298277764,NA
camerer2018,Morewedge2010,train,0,1,0.48846843057415085,0.37115320825901443,32,89,0.18569533817705186,0.10783277320343841,NA
camerer2018,Nishi2015,train,0,1,0.20377443815685445,0.11652454015180641,366,792,0.0524863881081478,0.03560094272544522,NA
camerer2018,Pyc_Rawson2010,train,0,1,0.3965579899706009,0.15114043593646684,36,306,0.17407765595569785,0.0574484989621426,NA
camerer2018,Ramirez_Beilock2011,train,0,1,1.079463340169882,-0.09831555100342614,20,131,0.24253562503633297,0.08838834764831843,NA
camerer2018,Rand2012,train,0,1,0.14194571393891012,0.026005861044089872,343,2136,0.05423261445466404,0.021652326748721033,NA
camerer2018,Shah2012,train,0,1,0.2736307392172438,-0.015001125151899412,56,619,0.13736056394868904,0.040291148201269014,NA
camerer2018,Sparrow2011,train,0,1,0.38610785201781916,0.05004172927849127,69,234,0.12309149097933272,0.0657951694959769,NA
camerer2018,Wilson2014,train,0,1,0.8180369348413566,0.6838243498742138,30,39,0.19245008972987526,0.16666666666666666,NA
score,0qar_single-trace,score,0,0,0.39607248257239785,0.007311708543086223,43,127,0.15811388300841897,0.08980265101338746,psychology
score,4N88_single-trace,score,0,0,0.24743540494448168,0.10818025078568314,1565,958,0.025302269968462875,0.03235924008452868,health
score,521q_single-trace,score,0,0,-0.17544265601134,-0.01376953903791883,225,722,0.06711560552140243,0.03729370703141007,psychology
score,59bm_single-trace,score,0,0,-0.13000831933820906,-0.09237340476179416,226,2006,0.06696495301824251,0.02234392810843759,psychology
score,7NEL_single-trace,score,0,0,-0.4973113918645599,-0.42629788632650445,689,87,0.038180177416060626,0.1091089451179962,health
score,7RR2_2kl87y,score,0,0,-0.23418950120312285,-0.22470721413854158,107,556,0.09805806756909202,0.04252432555625623,psychology
score,7RR2_4d3878,score,0,0,-0.4598967287523434,-0.27255428703641804,107,556,0.09805806756909202,0.04252432555625623,psychology
score,7RR2_5vw85q,score,0,0,-0.2909402666690097,-0.24477411265763274,107,556,0.09805806756909202,0.04252432555625623,psychology
score,7RR2_89x817,score,0,0,0.2600857294375882,0.04467565782608906,107,1096,0.09805806756909202,0.030247530200945175,psychology
score,7RR2_9qjzdd,score,0,0,0.19818914973219479,0.03647317309635574,107,1096,0.09805806756909202,0.030247530200945175,psychology
score,7RR2_b2pwnv,score,0,0,-0.2682546509517041,-0.20273255404104093,107,556,0.09805806756909202,0.04252432555625623,psychology
score,7RR2_bd3w94,score,0,0,-0.20273257183946394,-0.2048167588020569,107,540,0.09805806756909202,0.04315318520021031,psychology
score,7RR2_bn72ln,score,0,0,-0.05304970784726881,-0.2586153848714767,107,540,0.09805806756909202,0.04315318520021031,psychology
score,7RR2_bolw7q,score,0,0,-0.25008654997075297,-0.30075129531231365,107,540,0.09805806756909202,0.04315318520021031,psychology
score,7RR2_brwop3,score,0,0,-0.3161261989662181,-0.2628935819247314,107,540,0.09805806756909202,0.04315318520021031,psychology
score,7RR2_d5dy7d,score,0,0,0.3574886002302627,-0.173726907885624,107,540,0.09805806756909202,0.04315318520021031,psychology
score,7RR2_g4xnzl,score,0,0,0.19918470537476415,0.5059890648821719,107,1096,0.09805806756909202,0.030247530200945175,psychology
score,7RR2_m5jnlk,score,0,0,-0.2768637849005973,-0.2865973321354142,107,556,0.09805806756909202,0.04252432555625623,psychology
score,7RR2_m84pw1,score,0,0,-0.06609608229493508,-0.22050569850069568,107,556,0.09805806756909202,0.04252432555625623,psychology
score,7RR2_my485o,score,0,0,-0.25008654997075297,-0.26396459705141606,107,556,0.09805806756909202,0.04252432555625623,psychology
score,7RR2_n1rp5w,score,0,0,0.17578859627503587,-0.2215553538619178,107,540,0.09805806756909202,0.04315318520021031,psychology
score,7RR2_odrqvl,score,0,0,0.2741766550755,0.042765249081045335,107,1096,0.09805806756909202,0.030247530200945175,psychology
score,7RR2_yor7v2,score,0,0,-0.47223078965962567,-0.1871549701527131,107,556,0.09805806756909202,0.04252432555625623,psychology
score,7WjP_single-trace,score,0,0,0.4006392193187022,0.009534481434336823,30,112,0.19245008972987526,0.09578262852211514,psychology
score,88xa_single-trace,score,0,0,0.21606853928877698,0.20811654170005311,128,448,0.08944271909999159,0.04740454631399772,psychology
score,8R9d_single-trace,score,0,0,-1.1777856914886429,-0.7242399409117456,516,477,0.044151078568834795,0.04593152121746254,psychology
score,8e25_single-trace,score,0,0,0.12554408649219753,-0.004541125798286181,1152,1339,0.029501220638256383,0.027358782758229137,health
score,8wZ0_single-trace,score,0,0,0.28427384320753146,0.0027446197861324202,85,533,0.11043152607484653,0.04343722427630694,psychology
score,9J1_single-trace,score,0,0,0.25546488945307877,-0.05485203713303364,97,313,0.10314212462587934,0.05679618342470648,psychology
score,AOQj_single-trace,score,0,0,0.07516033672912255,0.005292602761081105,1929,1362,0.022786197567488776,0.027126281959038646,health
score,AqDO_single-trace,score,0,0,-0.0632425815367591,-0.08892670514946031,1064,673,0.03070027799227584,0.03863337046431279,health
score,AqDO_ywjwq1,score,0,0,0.043878507652723546,0.027994307817706628,4209,1930,0.0154193251232439,0.02278028445007573,health
score,AvOr_b7dlq4,score,0,0,0.12663040549537535,0.011744977310575963,208,1245,0.06984302957695782,0.02837521769195829,psychology
score,AvOr_gdyrdr,score,0,0,0.2439729547014991,0.12964922501102433,210,388,0.06950480468569159,0.050964719143762556,psychology
score,AvOr_grlzkw,score,0,0,0.20003055583702908,0.023453401174625115,223,530,0.06741998624632421,0.04356068418690321,psychology
score,AvOr_single-trace,score,0,0,0.24400314375079518,0.19564238199243902,210,749,0.06950480468569159,0.03661260129691062,psychology
score,AvWY_single-trace,score,0,0,0.3170286363273474,0.0392245746069066,48,156,0.14907119849998599,0.08084520834544433,psychology
score,Azg9_single-trace,score,0,0,0.07319601962383301,0.08215098358359656,1242,10071,0.028409549486356805,0.009966172423210911,health
score,BNrd_single-trace,score,0,0,-0.24477411974575145,-0.21215276428741822,573,322,0.04188539082916955,0.05598925109558543,health
score,BebG_single-trace,score,0,0,0.05396872247625377,0.07476481842311991,1391,2265,0.02684140635475095,0.021025856676559002,psychology
score,Br0x_single-trace,score,0,0,0.2534651002676183,-0.25829319306429394,360,656,0.05292561240249631,0.03913302400974161,psychology
score,EQxa_single-trace,score,0,0,0.2954745919332379,0.24962229986384946,400,705,0.05018856132284956,0.03774256780481986,psychology
score,Eb2N_single-trace,score,0,0,-0.06455708720102138,-0.18786262883001392,10730,319,0.00965519078278234,0.0562543950463012,health
score,GG7d_single-trace,score,0,0,0.5166116216329902,0.5750869941225275,293,1552,0.058722021951470346,0.02540822292337563,health
score,GNjz_single-trace,score,0,0,0.39373284431541633,0.17541603512462073,102,288,0.10050378152592121,0.05923488777590923,psychology
score,GXEW_single-trace,score,0,0,0.36200743509841404,0.1764761391737215,34,144,0.1796053020267749,0.0842151921066519,psychology
score,J7ek_single-trace,score,0,0,0.6192100454199175,0.6209688907704433,19,477,0.25,0.04593152121746254,psychology
score,K3YJ_single-trace,score,0,0,0.1366716778093215,0.052915561178424365,353,552,0.05345224838248487,0.04267895997763199,health
score,K4ZD_single-trace,score,0,0,-0.1797188907713062,-0.13503785726387793,90,574,0.10721125348377948,0.04184869753186872,psychology
score,Kj9d_single-trace,score,0,0,0.8362930469223891,0.13436647731544452,20,50,0.24253562503633297,0.14586499149789456,psychology
score,L3Lr_single-trace,score,0,0,0.1716666576856592,-0.11008095612671942,783,288,0.03580574370197165,0.05923488777590923,health
score,LbEB_single-trace,score,0,0,0.2974959982734416,0.22456904097837635,95,474,0.10425720702853739,0.04607756775840914,psychology
score,LmBx_single-trace,score,0,0,0.7697698071705537,0.01671956468478717,14,63,0.30151134457776363,0.12909944487358055,psychology
score,O3Gy_single-trace,score,0,0,0.14799321054154335,0.01123019878238115,1420,660,0.02656532141809275,0.03901371573204352,health
score,P39Z_single-trace,score,0,0,-0.07684840045866373,0.006531037695247752,2035,1844,0.022183912735402846,0.02330628783587717,health
score,PNPz_single-trace,score,0,0,0.21317134484130396,0.3458892184615042,290,510,0.059028133610095526,0.04441155916843276,psychology
score,VjjX_single-trace,score,0,0,0.8084781215993668,0.462092068459122,16,13,0.2773500981126146,0.31622776601683794,psychology
score,Vpgm_single-trace,score,0,0,-0.22365610902183242,-0.1486703490053306,2474,22418,0.020117019055664216,0.006679295050966977,psychology
score,W3EN_single-trace,score,0,0,0.3195346320005721,0.01415007079133532,64,691,0.12803687993289598,0.038124642583151166,health
score,Wre_single-trace,score,0,0,0.40078084802896036,0.053624338121230505,36,265,0.17407765595569785,0.06178020632152154,psychology
score,YpZZ_single-trace,score,0,0,0.5236551962515273,0.3596500635275686,81,81,0.11322770341445956,0.11322770341445956,psychology
score,a3Nx_single-trace,score,0,0,0.20390852166913437,0.36382643304148105,880,531,0.033767600672658715,0.04351941398892446,health
score,b3G4_single-trace,score,0,0,0.1409255946446053,-0.027573925226337608,278,949,0.060302268915552716,0.03251280443811776,health
